,common_name,scientific_name,taxon_rank,gbif_key,taxon_class,file
439,Chestnut Munia,Lonchura atricapilla,SPECIES,2493623,Aves,439_chestnut_munia.jpg
529,Black Magpie,Platysmurus leucopterus,SPECIES,2482536,Aves,529_black_magpie.jpg
531,Black-bellied Malkoha,Phaenicophaeus diardi,SPECIES,2496384,Aves,531_black-bellied_malkoha.jpg
553,Cricket Frog,Hylarana nicobariensis,SPECIES,2427022,Amphibia,553_cricket_frog.jpg
570,Chestnut-rumped Babbler,Stachyris maculata,SPECIES,2493415,Aves,570_chestnut-rumped_babbler.jpg
592,Tree hole Frog,Metaphrynella sundana,SPECIES,2421854,Amphibia,592_tree_hole_frog.jpg
605,Rough Guardian Frog,Limnonectes finchi,SPECIES,2430451,Amphibia,605_rough_guardian_frog.jpg
607,Reddish Scops Owl,Otus rufescens,SPECIES,5232308,Aves,607_reddish_scops_owl.jpg
619,Common Hill Myna,Gracula religiosa,SPECIES,2488999,Aves,619_common_hill_myna.jpg
623,Crested Fireback,Lophura ignita,SPECIES,5227961,Aves,623_crested_fireback.jpg
632,Lowland Litter Frog,Leptobrachium abbotti,SPECIES,2424680,Amphibia,632_lowland_litter_frog.jpg
636,Hose's Bush Frog,Philautus hosii,SPECIES,2423684,Amphibia,636_hoses_bush_frog.jpg
641,Dark eared Tree Frog,Polypedates macrotis,SPECIES,2423792,Amphibia,641_dark_eared_tree_frog.jpg
642,Dring's Slender Litter Frog,Leptolalax dringi,SPECIES,2424720,Amphibia,642_drings_slender_litter_frog.jpg
643,Brown Wood Owl,Strix leptogrammica,SPECIES,2497546,Aves,643_brown_wood_owl.jpg
644,Bent-toed Gecko,Cyrtodactylus sp,GENUS,2446984,Reptilia,644_bent-toed_gecko.jpg
680,Sticky Frog,Kalophrynus sp,GENUS,2421834,Amphibia,680_sticky_frog.jpg
693,Northern Torrent Frog,Meristogenys orphnocnemis,SPECIES,2427317,Amphibia,693_northern_torrent_frog.jpg
696,Poison Rock Frog,Odorrana hosii,SPECIES,2427195,Amphibia,696_poison_rock_frog.jpg
699,Giant River Toad,Phrynoidis juxtaspera,SPECIES,2422558,Amphibia,699_giant_river_toad.jpg
700,Kuhl's Creek Frog,Limnonectes kuhlii,SPECIES,2430477,Amphibia,700_kuhls_creek_frog.jpg
703,Rock Skipper Frog,Staurois latopalmatus,SPECIES,2426704,Amphibia,
704,Frilled Tree Frog,Rhacophorus appendiculatus,SPECIES,5217294,Amphibia,704_frilled_tree_frog.jpg
